Term,Coef,SE Coef,95% CI,T-Value,P-Value
  Central,-0.861,0.419,"(-1.682, -0.040)",-2.06,0.04
  Central Islip,0.49,0.539,"(-0.567, 1.547)",0.91,0.364
  Central Point,-0.894,0.383,"(-1.645, -0.142)",-2.33,0.02
  Central Square,0.32,0.539,"(-0.737, 1.377)",0.59,0.553
  Centralia,-1.392,0.468,"(-2.309, -0.474)",-2.97,0.003
  Centreville,-0.993,0.388,"(-1.752, -0.233)",-2.56,0.01
  Ceres,-0.861,0.384,"(-1.615, -0.108)",-2.24,0.025
  Cerritos,-0.845,0.383,"(-1.595, -0.094)",-2.21,0.027
  Chaffee,0.406,0.468,"(-0.511, 1.323)",0.87,0.385
  Chagrin Falls,0.165,0.414,"(-0.647, 0.977)",0.4,0.69
  Challis,-1.393,0.476,"(-2.325, -0.461)",-2.93,0.003
  Chalmers,-0.355,0.469,"(-1.273, 0.564)",-0.76,0.449
  Chambers,-0.82,0.469,"(-1.739, 0.098)",-1.75,0.08
  Champlain,-1.381,0.539,"(-2.438, -0.324)",-2.56,0.01
  Champlin,-0.815,0.395,"(-1.589, -0.041)",-2.06,0.039
  Chandler,-0.732,0.539,"(-1.789, 0.325)",-1.36,0.175
  Chanhassen,-0.797,0.394,"(-1.568, -0.025)",-2.02,0.043
  Channahon,-0.95,0.428,"(-1.788, -0.112)",-2.22,0.026
  Chantilly,-0.109,0.409,"(-0.910, 0.693)",-0.27,0.791
  Chardon,0.082,0.469,"(-0.837, 1.002)",0.18,0.86
  Chariton,0.783,0.435,"(-0.070, 1.636)",1.8,0.072
  Charleroi,-0.21,0.54,"(-1.269, 0.849)",-0.39,0.698
  Charleston,-0.761,0.386,"(-1.518, -0.003)",-1.97,0.049
  Charlestown,-0.766,0.41,"(-1.569, 0.037)",-1.87,0.061
  Charlotte,-1.052,0.385,"(-1.806, -0.298)",-2.74,0.006
  Charlottesville,-0.458,0.39,"(-1.223, 0.307)",-1.17,0.24
  Charlton,-0.633,0.47,"(-1.553, 0.288)",-1.35,0.178
  Chaska,-0.819,0.388,"(-1.579, -0.060)",-2.11,0.034
  Chatfield,-0.827,0.401,"(-1.613, -0.041)",-2.06,0.039
  Chatham,-1.351,0.539,"(-2.408, -0.294)",-2.51,0.012
  Chatsworth,-0.866,0.385,"(-1.621, -0.112)",-2.25,0.024
  Chattanooga,-1.227,0.388,"(-1.988, -0.466)",-3.16,0.002
  Chattaroy,-0.419,0.428,"(-1.258, 0.420)",-0.98,0.327
  Chehalis,-1.335,0.419,"(-2.157, -0.513)",-3.18,0.001
  Chelmsford,-1.092,0.429,"(-1.933, -0.251)",-2.54,0.011
  Chelsea,-0.942,0.406,"(-1.736, -0.147)",-2.32,0.02
  Cheltenham,-1.791,0.54,"(-2.850, -0.732)",-3.31,0.001
  Chemult,-0.847,0.385,"(-1.601, -0.092)",-2.2,0.028
  Cherry Hill,-1.153,0.392,"(-1.921, -0.385)",-2.94,0.003
  Cherry Valley,-0.781,0.468,"(-1.698, 0.137)",-1.67,0.095
  Chesapeake,-0.88,0.389,"(-1.643, -0.117)",-2.26,0.024
  Cheshire,-1.345,0.428,"(-2.184, -0.506)",-3.14,0.002
  Chester,-0.699,0.387,"(-1.457, 0.059)",-1.81,0.071
  Chesterfield,-0.843,0.406,"(-1.639, -0.048)",-2.08,0.038
  Chesterton,-1.025,0.428,"(-1.864, -0.186)",-2.39,0.017
  Chestertown,-1.44,0.539,"(-2.497, -0.383)",-2.67,0.008
  Chestnut Hill,-1.009,0.541,"(-2.070, 0.051)",-1.86,0.062
  Cheswick,-1.808,0.469,"(-2.727, -0.888)",-3.85,0
  Chetek,-0.15,0.537,"(-1.203, 0.903)",-0.28,0.78
  Chevy Chase,-1.489,0.414,"(-2.301, -0.677)",-3.59,0
  Cheyenne,-1.465,0.604,"(-2.650, -0.280)",-2.42,0.015
  Chicago,-0.858,0.383,"(-1.610, -0.107)",-2.24,0.025
  Chicago Heights,-1.217,0.468,"(-2.134, -0.300)",-2.6,0.009
  Chicago Ridge,-1.031,0.441,"(-1.896, -0.166)",-2.33,0.02
  Chichester,-0.898,0.54,"(-1.957, 0.161)",-1.66,0.097
  Chico,-0.851,0.384,"(-1.604, -0.098)",-2.22,0.027
  Chicopee,-1.017,0.469,"(-1.937, -0.097)",-2.17,0.03
  Chidester,0.37,0.541,"(-0.691, 1.431)",0.68,0.495
  Chilcoot,-0.919,0.419,"(-1.739, -0.099)",-2.2,0.028
  Childwold,-0.343,0.54,"(-1.401, 0.714)",-0.64,0.525
  Chili,-0.164,0.465,"(-1.076, 0.748)",-0.35,0.724
  Chiloquin,-0.889,0.384,"(-1.641, -0.137)",-2.32,0.02
  China Grove,0.455,0.54,"(-0.603, 1.513)",0.84,0.4
  Chino,-0.846,0.383,"(-1.598, -0.095)",-2.21,0.027
  Chino Hills,-0.782,0.386,"(-1.538, -0.026)",-2.03,0.043
  Chino Valley,0.189,0.442,"(-0.678, 1.055)",0.43,0.67
  Chipley,-1.424,0.54,"(-2.483, -0.366)",-2.64,0.008
  Chippewa Falls,-2.036,0.537,"(-3.089, -0.983)",-3.79,0
  Chisago City,-0.809,0.394,"(-1.582, -0.037)",-2.05,0.04
  Chisholm,-0.8,0.401,"(-1.586, -0.014)",-1.99,0.046
  Chocorua,-0.787,0.54,"(-1.846, 0.272)",-1.46,0.145
  Chowchilla,-0.791,0.386,"(-1.547, -0.035)",-2.05,0.04
  Christiana,-1.432,0.54,"(-2.491, -0.374)",-2.65,0.008
  Christiansburg,-1.118,0.419,"(-1.939, -0.297)",-2.67,0.008
  Chula Vista,-0.844,0.385,"(-1.598, -0.089)",-2.19,0.028
  Church Hill,0.131,0.54,"(-0.928, 1.190)",0.24,0.808
  Churchville,0.16,0.406,"(-0.635, 0.955)",0.39,0.693
  Churubusco,-0.019,0.54,"(-1.077, 1.039)",-0.04,0.972
  Cicero,-0.992,0.409,"(-1.794, -0.191)",-2.43,0.015
  Cimarron,-0.077,0.402,"(-0.865, 0.710)",-0.19,0.847
  Cincinnati,-1.061,0.388,"(-1.822, -0.301)",-2.74,0.006
  Cinnaminson,0.358,0.468,"(-0.560, 1.275)",0.76,0.445
  Circle Pines,-0.786,0.389,"(-1.549, -0.023)",-2.02,0.043
  Citra,0.439,0.54,"(-0.620, 1.497)",0.81,0.416
  City Of Industry,-0.771,0.387,"(-1.530, -0.012)",-1.99,0.046
  Clackamas,-0.724,0.384,"(-1.477, 0.028)",-1.89,0.059
  Clancy,-1.323,0.551,"(-2.403, -0.244)",-2.4,0.016
  Clanton,-1.005,0.42,"(-1.829, -0.181)",-2.39,0.017
  Clara City,-0.847,0.441,"(-1.711, 0.018)",-1.92,0.055
  Claremont,-0.805,0.419,"(-1.626, 0.015)",-1.92,0.054
  Claremore,0.037,0.696,"(-1.326, 1.401)",0.05,0.957
  Clarendon Hills,-1.261,0.468,"(-2.179, -0.344)",-2.69,0.007
  Clarissa,-0.83,0.467,"(-1.747, 0.086)",-1.78,0.076
  Clark,-1.447,0.396,"(-2.222, -0.671)",-3.66,0
  Clarkdale,-0.757,0.469,"(-1.676, 0.161)",-1.62,0.106
  Clarkfield,-0.771,0.427,"(-1.608, 0.066)",-1.81,0.071
  Clarklake,0.46,0.539,"(-0.597, 1.517)",0.85,0.394
  Clarks Grove,-0.887,0.401,"(-1.673, -0.101)",-2.21,0.027
  Clarksboro,-1.625,0.468,"(-2.542, -0.707)",-3.47,0.001
  Clarksburg,-1.056,0.391,"(-1.823, -0.290)",-2.7,0.007
  Clarksdale,-1.247,0.541,"(-2.308, -0.186)",-2.3,0.021
  Clarkston,-1.29,0.392,"(-2.057, -0.522)",-3.29,0.001
  Clarksville,-0.801,0.392,"(-1.569, -0.033)",-2.04,0.041
  Clatskanie,-0.86,0.384,"(-1.613, -0.107)",-2.24,0.025
  Claymont,-0.933,0.41,"(-1.736, -0.129)",-2.28,0.023
  Clayton,-0.651,0.395,"(-1.425, 0.123)",-1.65,0.099
  Cle Elum,-0.544,0.442,"(-1.411, 0.323)",-1.23,0.219
  Clear Brook,0.522,0.539,"(-0.535, 1.579)",0.97,0.333
  Clear Lake,-0.763,0.392,"(-1.531, 0.006)",-1.95,0.052
  Clear Spring,-0.631,0.442,"(-1.498, 0.236)",-1.43,0.154
  Clearfield,-0.875,0.384,"(-1.627, -0.122)",-2.28,0.023
  Clearlake,-0.856,0.398,"(-1.635, -0.076)",-2.15,0.032
  Clearlake Oaks,-0.87,0.389,"(-1.633, -0.107)",-2.23,0.025
  Clearwater,-0.852,0.39,"(-1.616, -0.088)",-2.19,0.029
  Clementon,-1.175,0.428,"(-2.014, -0.336)",-2.75,0.006
  Clemmons,-0.678,0.468,"(-1.596, 0.241)",-1.45,0.148
  Clermont,-0.626,0.41,"(-1.429, 0.177)",-1.53,0.126
  Cleveland,-1.09,0.388,"(-1.850, -0.330)",-2.81,0.005
  Cleves,-0.977,0.42,"(-1.800, -0.154)",-2.33,0.02
  Clewiston,0.387,0.54,"(-0.671, 1.446)",0.72,0.473
  Clifton,-1.232,0.391,"(-1.999, -0.465)",-3.15,0.002
  Clifton Forge,-1.041,0.441,"(-1.906, -0.176)",-2.36,0.018
  Clifton Park,-1.034,0.398,"(-1.814, -0.253)",-2.6,0.009
  Clifton Springs,-1.798,0.539,"(-2.855, -0.741)",-3.33,0.001
  Clifton Township,-1.949,0.54,"(-3.008, -0.890)",-3.61,0
  Climax,-1.13,0.401,"(-1.917, -0.343)",-2.82,0.005
  Clinton,-0.816,0.391,"(-1.582, -0.050)",-2.09,0.037
  Clinton Township,-0.878,0.391,"(-1.645, -0.111)",-2.24,0.025
  Clio,-1.507,0.406,"(-2.302, -0.712)",-3.71,0
  Clitherall,-1.052,0.54,"(-2.111, 0.006)",-1.95,0.051
  Clive,-1.374,0.542,"(-2.437, -0.312)",-2.54,0.011
  Cloquet,-0.768,0.391,"(-1.536, -0.001)",-1.96,0.05
  Clover,0.67,0.469,"(-0.249, 1.590)",1.43,0.153
  Cloverdale,-0.771,0.384,"(-1.524, -0.018)",-2.01,0.045
  Clovis,-0.863,0.386,"(-1.619, -0.106)",-2.23,0.025
  Clute,0.421,0.54,"(-0.636, 1.479)",0.78,0.435
  Clyde,-1.088,0.428,"(-1.927, -0.249)",-2.54,0.011
  Coalinga,-0.911,0.387,"(-1.669, -0.152)",-2.35,0.019
  Coarsegold,-0.912,0.386,"(-1.669, -0.155)",-2.36,0.018
  Cobb,-0.861,0.539,"(-1.917, 0.196)",-1.6,0.11
  Cobleskill,0.186,0.539,"(-0.871, 1.243)",0.34,0.73
  Coeur D Alene,-0.851,0.406,"(-1.647, -0.055)",-2.1,0.036
  Coffeeville,0.989,0.541,"(-0.071, 2.048)",1.83,0.067
  Cohasset,-0.804,0.419,"(-1.624, 0.017)",-1.92,0.055
  Cohoes,-0.904,0.468,"(-1.821, 0.012)",-1.93,0.053
  Cokato,-0.821,0.467,"(-1.737, 0.096)",-1.76,0.079
  Colbert,-0.812,0.442,"(-1.678, 0.054)",-1.84,0.066
  Colchester,0.151,0.402,"(-0.636, 0.939)",0.38,0.706
  Cold Spring,-0.517,0.397,"(-1.294, 0.261)",-1.3,0.193
  Coldwater,-0.541,0.427,"(-1.378, 0.297)",-1.27,0.206
  Colebrook,-0.763,0.54,"(-1.822, 0.295)",-1.41,0.158
  Coleville,-0.871,0.396,"(-1.647, -0.096)",-2.2,0.028
  Colfax,-0.748,0.387,"(-1.507, 0.010)",-1.93,0.053
  College Grove,-1.2,0.541,"(-2.259, -0.140)",-2.22,0.026
  College Park,-0.828,0.41,"(-1.632, -0.024)",-2.02,0.044
  Colleyville,-1.569,0.428,"(-2.408, -0.730)",-3.67,0
  Collierville,-1.411,0.428,"(-2.250, -0.572)",-3.3,0.001
  Collins,0.837,0.541,"(-0.224, 1.898)",1.55,0.122
  Collinston,-0.814,0.427,"(-1.651, 0.024)",-1.9,0.057
  Collinsville,-0.978,0.419,"(-1.799, -0.156)",-2.33,0.02
  Colma,-0.938,0.467,"(-1.854, -0.022)",-2.01,0.045
  Colmar,-0.008,0.54,"(-1.067, 1.051)",-0.01,0.988
  Cologne,-0.768,0.405,"(-1.562, 0.027)",-1.89,0.058
  Coloma,-0.672,0.539,"(-1.729, 0.385)",-1.25,0.213
  Colona,0.287,0.54,"(-0.770, 1.345)",0.53,0.594
  Colonia,-1.767,0.409,"(-2.570, -0.965)",-4.32,0
  Colonial Heights,-1.011,0.406,"(-1.806, -0.216)",-2.49,0.013
  Colorado City,-0.889,0.468,"(-1.807, 0.028)",-1.9,0.057
  Colorado Springs,-0.902,0.386,"(-1.658, -0.147)",-2.34,0.019
  Colt,0.602,0.541,"(-0.459, 1.663)",1.11,0.266
  Colton,-0.826,0.383,"(-1.577, -0.076)",-2.16,0.031
  Columbia,-0.618,0.387,"(-1.375, 0.140)",-1.6,0.11
  Columbia City,0.426,0.427,"(-0.411, 1.263)",1,0.318
  Columbia Station,0.273,0.469,"(-0.646, 1.192)",0.58,0.561
  Columbus,-0.978,0.386,"(-1.735, -0.221)",-2.53,0.011
  Columbus Grove,-0.397,0.54,"(-1.456, 0.662)",-0.73,0.463
  Colusa,-0.875,0.391,"(-1.642, -0.108)",-2.23,0.025
  Commack,-1.144,0.427,"(-1.981, -0.306)",-2.68,0.007
  Commerce,-0.899,0.388,"(-1.660, -0.138)",-2.32,0.021
  Commerce City,-0.926,0.39,"(-1.690, -0.162)",-2.38,0.017
  Comptche,-0.905,0.467,"(-1.821, 0.011)",-1.94,0.053
  Compton,-0.852,0.383,"(-1.602, -0.101)",-2.22,0.026
  Comstock Park,-1.69,0.441,"(-2.555, -0.825)",-3.83,0
  Concord,-0.858,0.383,"(-1.609, -0.107)",-2.24,0.025
  Concordia,-0.535,0.417,"(-1.352, 0.281)",-1.29,0.199
  Concrete,-1.426,0.54,"(-2.484, -0.368)",-2.64,0.008
  Condon,-0.908,0.393,"(-1.678, -0.139)",-2.31,0.021
  Congress,-0.579,0.442,"(-1.446, 0.289)",-1.31,0.191
  Conifer,-0.148,0.406,"(-0.944, 0.649)",-0.36,0.716
  Conley,-1.086,0.399,"(-1.868, -0.305)",-2.72,0.006
  Conner,0.567,0.551,"(-0.512, 1.647)",1.03,0.303
  Connersville,0.16,0.428,"(-0.680, 1.000)",0.37,0.709
  Conrad,-0.639,0.551,"(-1.719, 0.441)",-1.16,0.246
  Conroe,-0.473,0.399,"(-1.254, 0.309)",-1.19,0.236
  Conshohocken,-0.489,0.442,"(-1.356, 0.378)",-1.11,0.269
  Constantine,0.278,0.427,"(-0.559, 1.116)",0.65,0.515
  Contoocook,-0.543,0.414,"(-1.355, 0.269)",-1.31,0.19
  Convent,0.048,0.543,"(-1.016, 1.112)",0.09,0.93
  Conway,-0.955,0.395,"(-1.729, -0.181)",-2.42,0.016
  Conyers,-0.516,0.392,"(-1.284, 0.251)",-1.32,0.187
  Cook,-0.763,0.539,"(-1.820, 0.294)",-1.41,0.157
  Cookeville,-0.171,0.442,"(-1.037, 0.696)",-0.39,0.7
  Cooksville,-0.457,0.442,"(-1.325, 0.410)",-1.03,0.301
  Cool,-0.872,0.394,"(-1.645, -0.100)",-2.21,0.027
  Coolidge,-0.29,0.469,"(-1.208, 0.629)",-0.62,0.536
  Coon Valley,-1.009,0.465,"(-1.921, -0.097)",-2.17,0.03
  Coopersburg,-1.446,0.42,"(-2.269, -0.623)",-3.44,0.001
  Coopersville,-0.701,0.419,"(-1.522, 0.120)",-1.67,0.094
  Coos Bay,-0.833,0.384,"(-1.585, -0.081)",-2.17,0.03
  Cope,0.046,0.468,"(-0.872, 0.964)",0.1,0.922
  Coppell,-0.654,0.54,"(-1.712, 0.404)",-1.21,0.226
  Copperopolis,-0.917,0.441,"(-1.782, -0.053)",-2.08,0.037
  Coquille,-0.728,0.384,"(-1.480, 0.025)",-1.9,0.058
  Coral Springs,0.166,0.428,"(-0.673, 1.006)",0.39,0.697
  Coralville,-0.776,0.444,"(-1.647, 0.095)",-1.75,0.081
  Coram,0.461,0.441,"(-0.404, 1.326)",1.05,0.296
  Corbett,-0.796,0.385,"(-1.551, -0.042)",-2.07,0.039
  Corcoran,-0.889,0.401,"(-1.675, -0.103)",-2.22,0.027
  Cordova,-0.661,0.441,"(-1.526, 0.205)",-1.5,0.135
  Corfu,-1.435,0.468,"(-2.352, -0.519)",-3.07,0.002
  Cornelius,-0.575,0.401,"(-1.361, 0.211)",-1.43,0.152
  Cornersville,-1.664,0.468,"(-2.582, -0.746)",-3.55,0
  Corning,-0.875,0.398,"(-1.655, -0.095)",-2.2,0.028
  Cornwall Bridge,-0.4,0.428,"(-1.239, 0.439)",-0.93,0.35
  Corona,-0.858,0.383,"(-1.608, -0.108)",-2.24,0.025
  Coronado,-0.894,0.413,"(-1.702, -0.085)",-2.17,0.03
  Corrigan,-2.061,0.54,"(-3.119, -1.003)",-3.82,0
  Corryton,-0.564,0.468,"(-1.482, 0.354)",-1.2,0.229
  Corsicana,0.355,0.54,"(-0.703, 1.413)",0.66,0.511
  Corte Madera,-0.837,0.387,"(-1.596, -0.079)",-2.16,0.031
  Cortlandt Manor,0.258,0.395,"(-0.516, 1.033)",0.65,0.513
  Corvallis,-0.565,0.384,"(-1.318, 0.187)",-1.47,0.141
  Cosby,-0.807,0.442,"(-1.673, 0.059)",-1.83,0.068
  Cosmos,-0.793,0.467,"(-1.709, 0.123)",-1.7,0.09
  Costa Mesa,-0.796,0.383,"(-1.547, -0.045)",-2.08,0.038
  Cotati,-0.888,0.391,"(-1.654, -0.122)",-2.27,0.023
  Cottage Grove,-0.833,0.383,"(-1.584, -0.082)",-2.18,0.03
  Cotton,-0.782,0.413,"(-1.592, 0.027)",-1.89,0.058
  Cottondale,0,0.419,"(-0.822, 0.821)",0,0.999
  Cottonwood,-0.752,0.388,"(-1.513, 0.010)",-1.94,0.053
  Cottonwood Falls,-0.588,0.544,"(-1.655, 0.478)",-1.08,0.28
  Coudersport,-0.019,0.469,"(-0.938, 0.900)",-0.04,0.968
  Coulterville,-0.937,0.409,"(-1.737, -0.136)",-2.29,0.022
  Council,0.373,0.468,"(-0.545, 1.292)",0.8,0.426
  Council Bluffs,-1.414,0.402,"(-2.202, -0.627)",-3.52,0
  Country Club Hills,-0.374,0.441,"(-1.240, 0.491)",-0.85,0.397
  Coupeville,0.481,0.54,"(-0.577, 1.539)",0.89,0.373
  Courtland,-0.68,0.399,"(-1.462, 0.103)",-1.7,0.089
  Coushatta,-0.123,0.543,"(-1.187, 0.942)",-0.23,0.821
  Cove,-0.887,0.427,"(-1.724, -0.050)",-2.08,0.038
  Covina,-0.891,0.386,"(-1.649, -0.134)",-2.31,0.021
  Covington,-0.779,0.389,"(-1.542, -0.016)",-2,0.045
  Cowpens,-1.33,0.54,"(-2.389, -0.271)",-2.46,0.014
  Crabtree,-0.862,0.441,"(-1.727, 0.002)",-1.96,0.051
  Cranberry Township,0.177,0.469,"(-0.742, 1.096)",0.38,0.706
  Cranbury,-0.334,0.442,"(-1.200, 0.531)",-0.76,0.449
  Cranford,-1.43,0.397,"(-2.207, -0.653)",-3.61,0
  Cranston,-0.733,0.398,"(-1.513, 0.046)",-1.84,0.065
  Craryville,0.524,0.427,"(-0.313, 1.362)",1.23,0.22
  Crawfordsville,-1.344,0.428,"(-2.183, -0.505)",-3.14,0.002
  Crawfordville,-2.271,0.468,"(-3.188, -1.353)",-4.85,0
  Crawley,-1.337,0.542,"(-2.399, -0.276)",-2.47,0.014
  Creedmoor,0.215,0.469,"(-0.703, 1.134)",0.46,0.646
  Crescent,-0.818,0.389,"(-1.579, -0.056)",-2.11,0.035
  Crescent City,-0.861,0.389,"(-1.624, -0.098)",-2.21,0.027
  Crescent Lake,-0.833,0.391,"(-1.598, -0.067)",-2.13,0.033
  Crescent Mills,-0.838,0.427,"(-1.675, -0.001)",-1.96,0.05
  Crescent Valley,-1.928,0.556,"(-3.018, -0.839)",-3.47,0.001
  Crestline,-0.854,0.441,"(-1.718, 0.010)",-1.94,0.053
  Creston,-0.461,0.468,"(-1.378, 0.457)",-0.98,0.325
  Crestview,0.271,0.442,"(-0.595, 1.137)",0.61,0.54
  Crestwood,0.109,0.542,"(-0.953, 1.170)",0.2,0.841
  Creswell,-0.987,0.384,"(-1.740, -0.234)",-2.57,0.01
  Crimora,0.658,0.468,"(-0.258, 1.575)",1.41,0.159
  Crockett,-0.83,0.39,"(-1.595, -0.065)",-2.13,0.033
  Cromwell,-1.284,0.403,"(-2.075, -0.494)",-3.18,0.001
  Crosby,-2.811,0.542,"(-3.872, -1.749)",-5.19,0
  Cross Plains,-0.535,0.468,"(-1.453, 0.383)",-1.14,0.253
  Crossville,-1.162,0.414,"(-1.973, -0.351)",-2.81,0.005
  Croton on Hudson,-0.504,0.468,"(-1.421, 0.413)",-1.08,0.281
  Crown Point,-1.032,0.42,"(-1.855, -0.210)",-2.46,0.014
  Crownsville,-1.853,0.442,"(-2.720, -0.985)",-4.19,0
  Crows Landing,-0.903,0.392,"(-1.671, -0.135)",-2.31,0.021
  Croydon,-0.895,0.441,"(-1.760, -0.031)",-2.03,0.042
  Crozet,-1.187,0.427,"(-2.025, -0.350)",-2.78,0.005
  Crystal River,-1.349,0.54,"(-2.407, -0.290)",-2.5,0.012
  Cuba,-0.114,0.442,"(-0.981, 0.753)",-0.26,0.796
  Cuba City,-0.426,0.465,"(-1.338, 0.486)",-0.92,0.36
  Culleoka,0.64,0.468,"(-0.278, 1.558)",1.37,0.172
  Cullman,-1.036,0.42,"(-1.861, -0.212)",-2.46,0.014
  Culpeper,0.622,0.469,"(-0.297, 1.541)",1.33,0.185
  Culver,-0.828,0.385,"(-1.583, -0.074)",-2.15,0.031
  Culver City,-0.852,0.383,"(-1.603, -0.100)",-2.22,0.026
  Cumberland,-0.627,0.394,"(-1.400, 0.146)",-1.59,0.112
  Cumberland Center,-0.828,0.469,"(-1.747, 0.091)",-1.77,0.077
  Cumberland Foreside,-0.786,0.42,"(-1.610, 0.037)",-1.87,0.061
  Cumming,-0.926,0.468,"(-1.843, -0.009)",-1.98,0.048
  Cupertino,-0.888,0.389,"(-1.651, -0.126)",-2.28,0.022
  Currie,-0.764,0.539,"(-1.821, 0.293)",-1.42,0.156
  Cushing,-0.794,0.427,"(-1.631, 0.043)",-1.86,0.063
  Cusseta,-1.513,0.468,"(-2.430, -0.596)",-3.23,0.001
  Custer,-0.476,0.54,"(-1.534, 0.582)",-0.88,0.378
  Cutler,-0.851,0.405,"(-1.645, -0.057)",-2.1,0.036
  Cypress,-0.727,0.419,"(-1.549, 0.095)",-1.73,0.083
  Cyrus,-0.778,0.539,"(-1.835, 0.279)",-1.44,0.149
  Dade City,-0.108,0.428,"(-0.947, 0.731)",-0.25,0.8
  Dairy,-0.855,0.396,"(-1.631, -0.080)",-2.16,0.031
  Dakota,-0.623,0.394,"(-1.395, 0.150)",-1.58,0.114
  Dale,0.053,0.54,"(-1.005, 1.111)",0.1,0.922
  Daleville,-1.615,0.413,"(-2.425, -0.806)",-3.91,0
  Dallas,-0.924,0.383,"(-1.675, -0.172)",-2.41,0.016
  Dallas Center,0.526,0.542,"(-0.536, 1.588)",0.97,0.332
  Dallesport,-1.383,0.428,"(-2.221, -0.544)",-3.23,0.001
  Dalton,-0.436,0.419,"(-1.257, 0.384)",-1.04,0.297
  Daly City,-0.856,0.384,"(-1.609, -0.104)",-2.23,0.026
  Damascus,-0.647,0.385,"(-1.401, 0.107)",-1.68,0.093
  Dammeron Valley,-0.849,0.4,"(-1.633, -0.066)",-2.12,0.034
  Dana Point,-0.918,0.441,"(-1.782, -0.054)",-2.08,0.037
  Danbury,-1.197,0.401,"(-1.984, -0.410)",-2.98,0.003
  Dandridge,-1.192,0.414,"(-2.003, -0.381)",-2.88,0.004
  Danforth,-0.942,0.468,"(-1.859, -0.025)",-2.01,0.044
  Dania,-0.133,0.41,"(-0.936, 0.670)",-0.33,0.745
  Dansville,-0.463,0.468,"(-1.380, 0.454)",-0.99,0.322
  Danube,-0.805,0.419,"(-1.626, 0.016)",-1.92,0.055
  Danvers,-1.082,0.443,"(-1.950, -0.214)",-2.44,0.015
  Danville,-0.837,0.386,"(-1.592, -0.081)",-2.17,0.03
  Darien,-1.25,0.405,"(-2.045, -0.456)",-3.08,0.002
  Darlington,-1.129,0.442,"(-1.996, -0.262)",-2.55,0.011
  Darwin,-0.766,0.539,"(-1.822, 0.291)",-1.42,0.156
  Dassel,-0.813,0.398,"(-1.593, -0.033)",-2.04,0.041
  Davenport,-1.092,0.394,"(-1.864, -0.320)",-2.77,0.006
  Davidson,0.333,0.54,"(-0.725, 1.392)",0.62,0.537
  Davidsonville,-0.816,0.42,"(-1.639, 0.008)",-1.94,0.052
  Davie,-0.591,0.42,"(-1.413, 0.232)",-1.41,0.159
  Davis,-0.863,0.384,"(-1.615, -0.111)",-2.25,0.025
  Davis Creek,-0.952,0.441,"(-1.816, -0.087)",-2.16,0.031
  Davisburg,-0.313,0.441,"(-1.178, 0.552)",-0.71,0.478
  Davison,-1.001,0.398,"(-1.781, -0.221)",-2.51,0.012
  Dawson,-1.135,0.442,"(-2.001, -0.269)",-2.57,0.01
  Dawsonville,0.064,0.442,"(-0.802, 0.929)",0.14,0.885
  Dayton,-0.623,0.384,"(-1.376, 0.129)",-1.62,0.105
  Daytona Beach,-0.835,0.4,"(-1.619, -0.050)",-2.08,0.037
  Dayville,-0.741,0.427,"(-1.578, 0.096)",-1.74,0.083
  De Beque,-0.647,0.441,"(-1.512, 0.218)",-1.47,0.143
  De Pere,-1.979,0.537,"(-3.032, -0.926)",-3.68,0
  De Queen,-1.628,0.47,"(-2.549, -0.706)",-3.46,0.001
  De Soto,-0.506,0.471,"(-1.429, 0.417)",-1.08,0.282
  De Witt,-1.4,0.542,"(-2.462, -0.338)",-2.58,0.01
  Dearborn,-1.126,0.401,"(-1.913, -0.340)",-2.81,0.005
  Deary,-0.324,0.546,"(-1.394, 0.746)",-0.59,0.553
  Death Valley,-0.751,0.405,"(-1.545, 0.044)",-1.85,0.064
  Deatsville,-1.034,0.541,"(-2.094, 0.026)",-1.91,0.056
  Debary,-0.586,0.468,"(-1.504, 0.332)",-1.25,0.211
  Decatur,-0.963,0.385,"(-1.718, -0.207)",-2.5,0.012
  Decorah,0.464,0.542,"(-0.598, 1.526)",0.86,0.391
  Dedham,-0.865,0.468,"(-1.783, 0.052)",-1.85,0.065
  Deep River,-1.574,0.54,"(-2.632, -0.516)",-2.92,0.004
  Deep Run,0.473,0.54,"(-0.585, 1.532)",0.88,0.381
  Deer Creek,-0.678,0.54,"(-1.736, 0.380)",-1.26,0.209
  Deer Island,-0.814,0.391,"(-1.579, -0.048)",-2.08,0.037
  Deer River,-0.788,0.399,"(-1.571, -0.005)",-1.97,0.049
  Deerfield,-1.072,0.393,"(-1.842, -0.302)",-2.73,0.006
  Deerfield Beach,-0.361,0.39,"(-1.125, 0.402)",-0.93,0.354
  Deerwood,-0.794,0.399,"(-1.577, -0.011)",-1.99,0.047
  Deeth,-1.04,0.556,"(-2.130, 0.049)",-1.87,0.061
  Deforest,-1.045,0.425,"(-1.878, -0.213)",-2.46,0.014
  Defuniak Springs,-1.451,0.42,"(-2.273, -0.628)",-3.46,0.001
  Dekalb,-0.756,0.54,"(-1.813, 0.302)",-1.4,0.161
  Del Mar,-0.878,0.386,"(-1.634, -0.121)",-2.27,0.023
  Del Norte,-0.291,0.428,"(-1.129, 0.548)",-0.68,0.497
  Del Valle,-0.241,0.442,"(-1.107, 0.624)",-0.55,0.585
  Delafield,-1.559,0.425,"(-2.391, -0.726)",-3.67,0
  Deland,-0.693,0.4,"(-1.478, 0.092)",-1.73,0.083
  Delano,-0.87,0.388,"(-1.630, -0.111)",-2.25,0.025
